model_pattern,api_provider,priority,enabled,min_batch_size,max_batch_size,initial_batch_size,weight,rate_limit_factor,success_threshold,failure_threshold,input_cost_per_million_tokens,output_cost_per_million_tokens,notes
# TIER 1: Opus models (highest cost, highest capability)
claude-opus-4-1*,anthropic,1,true,30,200,50,1.5,0.5,5,2,15.00,75.00,Claude Opus 4.1 - Latest version
claude-opus-4*,anthropic,1,true,30,200,50,1.5,0.5,5,2,15.00,75.00,Claude Opus 4 - High capability
*opus*,anthropic,1,true,30,200,50,1.5,0.5,5,2,15.00,75.00,Any Opus model fallback
sonar-deep-research*,perplexity,1,true,3,10,5,0.8,0.5,3,2,2.00,8.00,Deep research with search cost
# TIER 2: Sonnet 4 and 3.7 models (balanced performance)
claude-sonnet-4*,anthropic,2,true,50,200,100,1.5,0.5,5,2,3.00,15.00,Claude Sonnet 4 - All variants
claude-3-7-sonnet*,anthropic,2,true,30,80,50,1.0,0.6,5,2,3.00,15.00,Claude 3.7 Sonnet
claude-sonnet-3.7*,anthropic,2,true,30,80,50,1.0,0.6,5,2,3.00,15.00,Alternative 3.7 naming
sonar-reasoning-pro*,perplexity,2,true,40,100,80,1.4,0.7,5,2,2.00,8.00,Reasoning Pro models
# TIER 3: Haiku 3.5 models (efficient)
claude-3-5-haiku*,anthropic,3,true,15,40,25,1.2,0.7,5,2,0.80,4.00,Claude 3.5 Haiku
claude-haiku-3.5*,anthropic,3,true,15,40,25,1.2,0.7,5,2,0.80,4.00,Alternative 3.5 Haiku naming
sonar-pro*,perplexity,3,true,40,100,80,1.3,0.75,5,2,3.00,15.00,Sonar Pro models
# TIER 4: Legacy and basic models
claude-3-haiku*,anthropic,4,true,15,40,25,1.0,0.8,5,2,0.25,1.25,Claude 3 Haiku - Legacy cheaper pricing
sonar*,perplexity,4,true,50,120,100,1.2,0.75,5,2,1.00,1.00,Base Sonar models
claude-3.5*,anthropic,4,true,30,80,60,1.3,0.6,5,2,3.00,15.00,Claude 3.5 family
# TIER 5: Legacy models
claude-3*,anthropic,5,true,20,80,40,1.0,0.75,5,2,3.00,15.00,Claude 3 family
llama*,perplexity,5,true,20,70,40,1.1,0.75,5,2,1.00,1.00,Llama models
# Provider-level fallbacks
claude*,anthropic,8,true,20,80,40,0.8,0.8,5,2,3.00,15.00,Claude fallback - Sonnet pricing
*sonar*,perplexity,8,true,20,60,40,1.1,0.75,5,2,1.00,1.00,Sonar fallback
# Global fallback - FIXED to use Sonnet pricing
*,unknown,999,true,10,30,20,1.0,0.9,3,2,3.00,15.00,Global fallback - matches Claude Sonnet pricing
