Product Name,Developer,Target,Indication,Therapeutic Radionuclide,Diagnostic Radionuclide,Modality Type,Development Stage,Key Trial ID,Projected Launch,FDA-EMA Designation,Strategic Partners,Recent News
[^64Cu]RTX?1363S (FAP?PET tracer),Ratio?Therapeutics / Lantheus,FAP,"Epithelial-derived cancers (including pancreatic, breast, colorectal), sarcoma, gastrointestinal malignancies; also being evaluated for myocardial fibrosis",-,Cu-64,Diagnostic small molecule,Phase 1/2a,NCI-2025-01031,2027-28,-,"Lantheus, PharmaLogic","- 3/12/2024: Ratio announces expansion of manufacturing agreement with PharmaLogic for FAP-targeted radiopharmaceuticals; Phase I trial ongoing for [Cu-64]-labeled LNTH-1363S (formerly RTX-1363S) in healthy volunteers; $50M Series B financing secured to advance clinical development (High Confidence)
- 7/11/2023: First patient dosed in Phase I study evaluating novel FAP-targeted radiopharmaceutical for PET imaging; collaboration with Lantheus and PharmaLogic (High Confidence)
- 7/19/2023: Ratio highlights first patient treated in FAPI PET trial; study to guide further development of [Cu-64]-labeled RTX-1363S as FAP-targeted tumor imaging agent (High Confidence)"
FAP?? 225Ac Radiotherapeutic,Ratio?Therapeutics,FAP,Soft tissue sarcoma,Ac-225,Cu-64,"Theranostic radioligand (peptide or antibody, exact class not specified)",Pre-clinical,-,2027-28,-,-,"- 2024-03-12: Ratio Therapeutics announces an expansion of its manufacturing agreement with PharmaLogic for FAP-targeted radiopharmaceuticals and plans to advance its lead FAP-targeted therapeutic candidate into clinical trials in late 2024.
- 2022-06-10: Ratio Therapeutics launches with a focus on developing targeted radiopharmaceuticals, including the use of Actinium-225 and the Macropa chelate platform."
SSTR2?targeted Radiotherapeutic,Ratio?Therapeutics / Novartis,SSTR2,SSTR2-expressing neuroendocrine tumors (NETs),-,-,Therapeutic radioligand,Pre-clinical,-,2027-28,-,Novartis Pharma AG,"- 2024-11-18: Ratio Therapeutics enters license and collaboration agreement with Novartis for SSTR2-targeting radiotherapeutic candidate; Ratio to receive up to $745M in combined upfront and potential milestone payments, plus tiered royalties; Ratio to drive preclinical activities, Novartis to handle remaining development, manufacturing, and commercialization (High Confidence)
- 2025-05-08: Ratio Therapeutics advancing development of its first FAP-targeted radiotherapeutic (not SSTR2-targeted), with plans to enter clinical trials this year (Low Confidence for SSTR2-targeted product, as this news is not directly about SSTR2-targeted candidate)"
Granzyme?B PET Tracer,Ratio?Therapeutics (licensed from?Merck),Granzyme?B,"Advanced solid tumors (malignant, untreated), monitoring tumor responses to immunotherapy",-,"Not specified (likely PET radionuclide, e.g., F-18, Ga-68, Zr-89, but not explicitly stated in public sources)","Diagnostic PET imaging agent (small molecule or peptide, not specified)",Phase 1,NCT06916442,2027-28,-,"Merck (licensor), Lantheus (competing product partner)","- 5/29/2025: Granzyme B PET imaging study published in JNM demonstrates ability to predict response to immunotherapy in breast cancer, highlighting obesity-induced differences in immune response (High Confidence)
- 4/8/2025: CytoSite Bio announces agreement with Lantheus for Granzyme B targeted PET imaging radiotracer for immunotherapy assessment (High Confidence)
- 3/31/2025: Clinical trial launched by Zhongnan Hospital for Granzyme B-targeted PET imaging to monitor tumor responses to immunotherapy in advanced solid tumors (High Confidence)"
FAP?2286,Novartis?(AAA),FAP,Advanced solid tumors (FAP-positive),Lu-177,Ga-68,Theranostic peptide,Phase 1/2,NCT04939610,2027-28,-,"3B Pharmaceuticals, Clovis Oncology (historical)","- 2025-05-02: Novartis updates clinical trial protocol for 177Lu-FAP-2286 in advanced solid tumors, detailing dosing schedule and monitoring for Phase 1/2 study (NCT04939610) (High Confidence)
- 2024-11-05: New Phase 2 trial (FAUNUS) for 177Lu-FAP-2286 in urothelial neoplasms announced by Ankara University; not yet recruiting (High Confidence)
- 2024-09-27: Preclinical validation and dosimetry studies for 177Lu-FAP-2286 presented at EANM 2024, highlighting tumor uptake and kidney protection strategies (High Confidence)
- 2024-09-27: Case report in Clin Nucl Med shows radiological remission in squamous lung cancer patient treated with 177Lu-FAP-2286 (High Confidence)"
225Ac?PSMA?617?(“AAA817”),Novartis?(Endocyte),PSMA,PSMA-positive prostate cancer (including patients with and without prior exposure to 177Lu-PSMA-617 or 177Lu-PSMA I&T),Ac-225,-,Therapeutic radioligand,Phase 1,NCT04597411,2027-28,-,-,"- 2025-03-12: Novartis continues to advance actinium-based PSMA therapies, with ongoing Phase 1 studies for 225Ac-PSMA-617 and related compounds; Pluvicto (177Lu-PSMA-617) is not yet approved in the pre-chemo setting, but an FDA decision is expected in the first half of 2025 based on the PSMAfore trial (High Confidence)
- Ongoing: Phase 1, open-label, international, dose escalation study (NCT04597411) for 225Ac-PSMA-617 in men with PSMA-positive prostate cancer, with or without prior exposure to 177Lu-PSMA-617 or 177Lu-PSMA I&T; study participation is approximately 18-24 months per participant, with total study duration from first patient in to last long-term follow-up of about 48 months (High Confidence)"
177Lu?PNT2002,POINT?Biopharma?/?Eli?Lilly,PSMA,"Metastatic castration-resistant prostate cancer (mCRPC), PSMA-positive; Recurrent or metastatic adenoid cystic carcinoma (Phase II)",Lu-177,-,Therapeutic radioligand,Phase 3,NCT04647526,2027-28,"Fast Track (FDA, 2023)","Lantheus, Eli Lilly","- 5/7/2025: Lantheus calls time on 'me-too' Pluvicto; any remaining hope for PNT2002 rests with Lilly, which acquired Point Biopharma for $1.4bn in October 2023. Lantheus is working with Lilly to review the full SPLASH dataset; Lilly may buy back rights to the full data and pursue approval, but this seems unlikely (High Confidence)
- 2/10/2025: Phase II clinical trials in adenoid cystic carcinoma (recurrent, metastatic disease) in the USA initiated (NCT06322576) (High Confidence)
- 1/13/2025: Lantheus Medical Imaging, in collaboration with POINT Biopharma, suspends an expanded access trial for prostate cancer (NCT06033001) (High Confidence)
- 9/13/2024: Updated efficacy and adverse events data from Phase III SPLASH clinical trials in prostate cancer presented at the 49th Annual Congress of the European Society for Medical Oncology (ESMO-2024) (High Confidence)
- 4/25/2023: FDA grants fast track designation to 177Lu-PNT2002 for the treatment of mCRPC (High Confidence)"
67Cu?SAR?bisPSMA,Clarity?Pharmaceuticals,PSMA,PSMA-positive metastatic castration-resistant prostate cancer (mCRPC) after prior androgen receptor pathway inhibition (ARPI),Cu-67,-,Therapeutic radioligand,Phase 2,NCT04868604,2027-28,"Fast Track (FDA, 2025)",-,"- 4/15/2025: First patient treated in Phase II Cohort Expansion of SECuRE trial with improved 67Cu-SAR-bisPSMA formulation; preliminary data showed 92% of pre-chemotherapy participants had PSA drops >35%, 61.5% >50%, and 46.2% >80% (High Confidence)
- 2/19/2025: US FDA grants Fast Track Designation for 67Cu-SAR-bisPSMA for PSMA-positive mCRPC after prior ARPI (High Confidence)"
RYZ?101?(225Ac?DOTATATE),Bristol?Myers?Squibb?(RayzeBio),SSTR2,"Advanced, well-differentiated SSTR2+ gastroenteropancreatic neuroendocrine tumors (GEP-NETs) progressing after 177Lu-SSA therapy; ER+, HER2-negative, SSTR-expressing unresectable or metastatic breast cancer",Ac-225,-,Therapeutic radioligand (peptide),Phase 3,NCT05477576,2027-28,-,Bristol Myers Squibb,"- 5/28/2025: Ongoing and enrolling patients in the USA for RYZ101 (225Ac-DOTATATE) in patients with estrogen receptor-positive, HER2-negative, SSTR-expressing unresectable or metastatic breast cancer (High Confidence)
- 1/27/2025: Phase 1b portion of ACTION-1 trial (NCT05477576) for RYZ101 in advanced, well-differentiated SSTR+ GEP-NETs progressing after 177Lu-SSA therapy reports RYZ101 was well tolerated, with a fixed dose of 10.2 MBq declared the recommended phase 3 dose; initial data suggest promising efficacy and manageable safety (High Confidence)
- 5/31/2023: First patient dosed in Phase 3 ACTION-1 trial of RYZ101 in SSTR+ GEP-NETs progressing after prior Lutetium-177 labelled somatostatin analogue therapy; global study expected to enroll 210 patients (High Confidence)"
TLX250?CDx?(89Zr?girentuximab),Telix?Pharmaceuticals,CAIX,"Clear-cell RCC (ccRCC), specifically targeting CAIX-positive tumors",-,Zr-89,Diagnostic monoclonal antibody (mAb),BLA filed,NCT03849118,2025,"Priority Review (FDA, 2025)",-,"- 2/26/2025: FDA accepts BLA for TLX250-CDx (Zircaix®) for kidney cancer imaging, grants Priority Review, and sets PDUFA date of 27 August 2025 (High Confidence)
- 12/30/2024: Telix files BLA for TLX250-CDx (Zircaix®) for kidney cancer imaging (High Confidence)"
