Client,Sector,Trigger Window,Trigger Type,Trigger Summary,Outreach Angle,Buyer Persona,Priority (1–5),Next Step,Notes
Microsoft,Cloud/AI,Q1/Q3,Earnings/AI announcements,Recurring Copilot updates,Benchmark ROI with pilot case study,"VP Product, ITDM",5,Propose joint POC,Leverage enterprise security angle
AstraZeneca,Biopharma,Q2/Q4,R&D pipeline updates,Ongoing oncology trials,RWE analytics enablement,Translational Science Lead,4,Offer data harmonization brief,Cite pharmacovigilance workflows
Siemens,Industry/Automation,Rolling,Product roadmap,Factory digital twin pushes,AI for predictive maintenance,OT/IT Integration Dir,4,Share manufacturing case deck,Stress uptime KPIs
NVIDIA,Semiconductors/AI,GTC season,Conference,Platform ecosystem news,Ecosystem partner research maps,Developer Relations Lead,3,Request co-marketing slot,Highlight reference architectures
Pfizer,Biopharma,Q2,Regulatory milestones,Label extension cycles,Trial analytics accelerators,Clinical Ops VP,4,Offer protocol library mapping,Point to risk-based monitoring
Bank of America,Finance,Q1/Q3,Earnings/regulatory,Model risk management themes,Model governance accelerators,Model Risk Officer,3,Send model inventory template,Focus SR 11-7 alignment
Shell,Energy,Q2,Sustainability reports,Energy transition updates,Scenario planning with graph-RAG,Strategy Director,3,Propose scenario workshop,Tie to emissions reporting
Shopify,E-commerce,Q2/Q4,Platform features,Merchant tooling changes,Merchant intelligence dashboards,GM of Product,4,Pitch cohort analysis,Emphasize conversion lift
OpenAI,AI,Dev Day,Developer event,Platform capability releases,Safety+eval research mapping,Head of Partnerships,3,Share eval taxonomy,Offer red-teaming plan
Roche,Biotech,Q2/Q4,Diagnostics updates,Companion diagnostics initiatives,Lab workflow optimization,Dx Portfolio Lead,4,Schedule lab process review,Cite quality compliance
