Conference,Series,Year,Start Date,End Date,City,Country/Region,Venue,Format,Price / Range (USD),Est. Size,Audience/Demographics,Primary Themes,Website,Sponsor/Expo Info,CFP/Submission Notes,Relevance to Hyperplexity (1-5),Notes
NeurIPS 2025,Neural Information Processing Systems,2025,2025-12-09,2025-12-15,Mexico City,Mexico,Centro Citibanamex,In-person + Virtual,TBD; 2025 pricing page active,16k+ attendees in 2023 (past),"Top-tier ML researchers, big-tech labs, startups, investors","ML, deep learning, optimization, theory, agents",https://neurips.cc/Conferences/2025,https://neurips.cc/Conferences/2025/ExhibitorInformation,"Multiple calls (main conf, datasets, workshops, comps)",5,"Great for recruiting, research collabs, and visibility; startup pitch also listed."
ICLR 2026,International Conference on Learning Representations,2026,2026-04-23,2026-04-27,Rio de Janeiro,Brazil,Riocentro (TBC on site),In-person + Virtual,TBD,Large (thousands),"Deep learning researchers, applied ML teams, OSS authors","Representation learning, LLMs, alignment, robustness",https://iclr.cc/Conferences/2026,https://iclr.cc/Conferences/2026/SponsorProspectus,"Abstract deadline Sept 19, 2025; full paper Sept 26, 2025",5,Strong LLM and agents content; global research crowd.
ICML 2026,International Conference on Machine Learning,2026,2026-07-06,2026-07-12,Seoul,South Korea,COEX,In-person + Virtual,TBD,Large (thousands),ML researchers and practitioners; heavy industry presence,"Core ML, LLMs, optimization, theory, applications",https://icml.cc/Conferences/FutureMeetings,https://icml.cc/,Typical winter deadlines; details TBA on site,5,Top-3 ML venue; good for partnerships and hiring.
AAAI-26,AAAI Conference on Artificial Intelligence,2026,2026-01-20,2026-01-27,Singapore,Singapore,Suntec Singapore (listed on site),In-person + Virtual,TBD,Large,Academic + industry AI across subfields,"General AI, agents, planning, NLP, vision",https://aaai.org/conference/aaai-26/aaai26-registration/,https://aaai.org/conference/aaai-26/aaai-26-sponsorship/,Deadlines passed; tutorials/workshops TBA,4,Broad AI; high signal for agentic AI and evaluation.
CVPR 2026,IEEE/CVF Conference on Computer Vision and Pattern Recognition,2026,2026-06-21,2026-06-27,Seattle,USA,Seattle Convention Center,In-person,TBD,Very large,"CV researchers, applied AI teams, robotics","Vision, multimodal LLMs, agents with perception",https://cvpr.thecvf.com/,https://cvpr.thecvf.com/Conferences/2026/Exhibitors,Deadlines TBA,3,Relevant if building multimodal search/agents.
ACL 2026,Annual Meeting of the Association for Computational Linguistics,2026,2026-07-02,2026-07-07,"San Diego, CA",USA,TBD (San Diego venue),Hybrid,TBD,Large (NLP community),"NLP/LLM researchers & engineers, product teams","LLMs, RAG, evaluation, safety, multilingual",https://2026.aclweb.org/,https://2026.aclweb.org/,ARR-based schedule; tutorials/workshops calls live,5,Prime venue for RAG/agents/search-adjacent NLP.
EMNLP 2025,Empirical Methods in Natural Language Processing,2025,2025-11-04,2025-11-09,Suzhou,China,Suzhou International Expo Centre,Hybrid,TBD,Large,NLP/LLM engineers & researchers,"LLMs, RAG, evaluation, multilingual, applications",https://2025.emnlp.org/,https://2025.emnlp.org/sponsors/,Main conf Nov 5–9; various colocated workshops,5,"Strong production-LLM tracks and workshops (e.g., ArabicNLP)."
WSDM 2026,ACM Web Search and Data Mining,2026,2026-02-22,2026-02-26,"Boise, ID",USA,Boise Centre,In-person,TBD,Mid-sized (high industry engagement),"Search/IR, recommender systems, applied ML","Search, ranking, RAG, retrieval, user modeling",https://wsdm-conference.org/2026/,https://wsdm-conference.org/2026/index.php/sponsors/,"Abstract deadline Aug 7, 2025",5,Highly aligned with retrieval + LLM production use-cases.
SIGIR 2025,ACM SIGIR on Research and Development in Information Retrieval,2025,2025-07-13,2025-07-18,Padua,Italy,Padova Congress,In-person,TBD,Mid/Large,IR/search engineers & scientists,"IR, RAG evaluation, retrieval pipelines, user modeling",https://sigir2025.dei.unipd.it/,https://sigir2025.dei.unipd.it/sponsors.html,"Full paper deadline Jan 23, 2025 (AoE)",5,Premier IR; strong RAG content + industry day.
KDD 2026,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,2026,2026-08-09,2026-08-13,Jeju,South Korea,ICC Jeju,In-person,TBD,Large,"Data science leaders, applied ML engineers, product teams","Applied ML, LLMops, recsys, causal inference",https://kdd2026.kdd.org/,https://kdd2026.kdd.org/,Two-cycle submissions; tracks include research/ADS/DB,5,Excellent for enterprise leads + technical recruiting.
