No.,Title,Subtitle,Score,Strengths,Issues,Recommendation
1,Copy. Paste. [Validate].,Effortlessly validate AI outputs with Chex.,98,"Perfect workflow, instantly clear, professional",None,EXCELLENT - Use as-is
2,AI [hallucinating] again?,Catch AI errors before they catch you with Chex.,95,"Strong hook, viral potential, clear problem",None,EXCELLENT - Use as-is
3,When [confidence] is just not enough...,Introducing Chex - the AI Bluster Duster.,88,"Good setup, 'Bluster Duster' is memorable",'Bluster Duster' may confuse non-native speakers,GOOD - Consider 'Confidence Duster' for clarity
4,$10M lawsuit. One AI [hallucination].,Don't let AI errors cost you. Validate with Chex.,97,"Extremely compelling, high stakes, fear-based",May be too aggressive for some audiences,EXCELLENT - Best for enterprise/legal
5,[Trust] but verify your AI.,Automated validation for every AI output. Chex.,92,"Classic phrase, instantly understood",Slightly formal,EXCELLENT - Use as-is
6,Your AI just made that [up].,Catch hallucinations with Chex.,94,"Direct, conversational, relatable",Subtitle could be stronger,VERY GOOD - Consider: 'Stop hallucinations before they go live. Chex.'
7,Get due diligence [done].,Use AI responsibly with Chex.,90,"Professional, compliance angle",'Responsibly' is vague,GOOD - Consider: 'Validate AI outputs with Chex.'
8,That ChatGPT answer? [Wrong].,Validate AI outputs before they go live. Chex.,93,"Provocative, challenges blind trust, specific",May alienate OpenAI fans,EXCELLENT - High engagement potential
9,AI makes [mistakes].,Chex [catches] them.,85,"Simple, clear","Two underlines dilute focus, less impactful",REVISE - Use: 'AI makes mistakes. Chex [catches] them.'
10,The AI [safety net] you need.,Validate AI outputs with Chex.,87,"Good metaphor, risk mitigation angle",Somewhat generic,GOOD - Use as-is
11,Separate Unbelievable from [Not-Believable].,Trust but verify AI with Chex.,72,Clever wordplay,"Confusing - 'Not-Believable' isn't clear, grammar awkward",WEAK - Revise to: 'Unbelievable. Or just [not believable]?' / 'Verify AI claims with Chex.'
12,Fighting fire with [fire].,Use AI to validate AI outputs. Chex.,86,"Classic phrase, meta approach","Cliché, 'fire' doesn't clearly mean AI",GOOD - Consider: 'Fight [AI] with AI.'
13,Your boss asked for [sources].,Validate AI outputs automatically. Chex.,95,Highly relatable workplace pain,None,EXCELLENT - Use as-is
14,AI [creativity] without the liability.,Validate outputs before they go live. Chex.,92,"Great benefit statement, legal angle",None,EXCELLENT - Use as-is
15,[Verify] every AI output.,Automated fact-checking with Chex.,82,Clear action,Imperative is less engaging than problem-focused,GOOD - Consider different title
16,Don't be [that] company.,Catch AI errors before your customers do with Chex.,94,"Social proof fear, powerful motivator",None,EXCELLENT - Use as-is
17,AI getting too [creative]?,Ground your outputs with Chex.,91,Good euphemism for hallucinations,'Ground your outputs' could be clearer,VERY GOOD - Consider: 'Ground truth your outputs with Chex.'
18,Before you hit [send]...,Validate AI outputs with Chex.,88,"Decision moment, relatable",Common phrasing,GOOD - Use as-is
19,Don't let AI embarrass you.,Validate with Chex.,89,"Clear benefit, emotional angle",Title lacks underline/emphasis,VERY GOOD - Consider: 'Don't let AI [embarrass] you.'
20,Due diligence for the [AI] age.,Validate AI outputs with Chex.,87,Positions as modern necessity,Somewhat formal,GOOD - Use as-is
21,AI [lies]. We catch them.,Automated validation for AI outputs. Chex.,86,"Direct, aggressive, clear",'Lies' is harsh - may be too aggressive,GOOD - Consider softer: 'AI [fabricates]. We catch it.'
22,[Receipts] for your AI claims.,Validate sources and facts with Chex.,92,"Social media language, accountability",None,EXCELLENT - Use as-is
